product page URL,product name,product code,ingredient,function,CAS#
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Methylisothiazolinone,Methyisothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2682-20-4
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Benzisothiazolinone,Benzisothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2634-33-5
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Methylchloroisothiazolinone,Methylchloroisothiazolinone is a preservative.,26172-55-4
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Citric Acid,Citric acid is apH regulating agent.,77-92-9
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Fragrance,"For fragrance information, visit www.ifrafragrance.org.",Proprietary
https://us.bona.com/products/Bona--Hardwood-Floor-Cleaner-with-Cedar-Wood.html,Bona® Hardwood Floor Cleaner with Cedar Wood,,Sodium Bicarbonate,Sodium Bicarbonate is a stabilizer.,144-5-8
https://us.bona.com/products/pro-series-hardwood-floor-cleaner.html,Bona Pro Series Hardwood Floor Cleaner,,Water/Aqua,Water is a Solvent,7732-18-5
https://us.bona.com/products/pro-series-hardwood-floor-cleaner.html,Bona Pro Series Hardwood Floor Cleaner,,Hydrogen Peroxide,Hydrogen Peroxide is a solvent.,7722-84-1
https://us.bona.com/products/pro-series-hardwood-floor-cleaner.html,Bona Pro Series Hardwood Floor Cleaner,,PPG-2 METHYL ETHER,PPG-2 Methyl Ether is a solvent,34590-94-8
https://us.bona.com/products/pro-series-hardwood-floor-cleaner.html,Bona Pro Series Hardwood Floor Cleaner,,Butoxypropanol,Butoxypropanol is a Solvent.,5131-66-8
https://us.bona.com/products/pro-series-hardwood-floor-cleaner.html,Bona Pro Series Hardwood Floor Cleaner,,Decyl Glucoside,Decyl Glucoside is a Surfactant,68515-73-1
https://us.bona.com/products/pro-series-hardwood-floor-cleaner.html,Bona Pro Series Hardwood Floor Cleaner,,Citric Acid,Citric Acid is a pH Regulating Agent,77-92-9
https://us.bona.com/products/pro-series-hardwood-floor-cleaner.html,Bona Pro Series Hardwood Floor Cleaner,,Sodium Hydroxide,Sodium Hydroxide is a pH Regulating Agent,1310-73-2
https://us.bona.com/products/pro-series-hardwood-floor-cleaner.html,Bona Pro Series Hardwood Floor Cleaner,,Fragrance,"For fragrance information,www.ifrafragrance.org",Proprietary
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Water/Aqua,"Water is a solvent.Water is used in a many different manufactured products and is considered to be a safe, organic substitute for harsher chemicals. Water is used as a way to dissolve other chemicals into a safe cleaning solution. The term “aqua” refers to water that is free from impurities.",7732-18-5
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,PPG-2 METHYL ETHER,"PPG-2 methyl ether is a solvent. Solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Solvents can help to stabilize the surfactants and aid in grease clean-up. Solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",34590-94-8
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Butoxypropanol,"Butoxypropanol is a solvent. Solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Solvents can help to stabilize the surfactants and aid in grease clean-up. Solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",5131-66-8
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Diisobutylene-Maleic Acid Copolymer,Diisobutylene-maleic acid copolymeris a dispersing agent.,37199-81-8
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,PEG/PPG PROPYLHEPTYL ETHER,PEG/PPG propylheptyl ether is a surfactant.,166736-08-9
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Isotridecanol Ethoxylate,Isotridecanol ethoxylate is a surfactant.,69011-36-5
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Alcohol Ethoxylate,Alcohol ethoxylate is a surfactant.,Unknown
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Trisodium Dicarboxymethyl Alaninate,"Trisodium dicarboxymethyl alaninate is a chelating agent. Achelating agentis an organic compound that helps to remove metal ions from solutions. Basically, it helps prevent hard water residue. Chelators are commonly used in cleaning products such as detergents and soaps. Alanine trisodium salt is biodegradable and nontoxic.",164462-16-2
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Citric Acid,Citric acid is apH regulating agent.,77-92-9
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Benzisothiazolinone,Benziothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2634-33-5
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Methylisothiazolinone,Methyisothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2682-20-4
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Fragrance,"For fragrance Inforamtion, visit www.ifraorg.org",
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Polymeric Blue Colorant,ProprietaryColorant,
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Hexyl Cinnamal,EU Fragrance Allergen,101-86-0
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Linalool,EU Fragrance Allergen,78-70-6
https://us.bona.com/products/bona-hard-surface-floor-cleaner-hard-floor-cleaning-machine-formulation-32oz.html,Bona® Hard-Surface Floor Cleaner - Hard-Floor Cleaning Machine Formulation 32oz,,Sodium Bicarbonate,Monosodium salt of carbonic acid with alkalinizing and electrolyte replacement properties.,144-55-8
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Aqua,"Water is a solvent.Water is used in a many different manufactured products and is considered to be a safe, organic substitute for harsher chemicals. Water is used as a way to dissolve other chemicals into a safe cleaning solution. The term “aqua” refers to water that is free from impurities.",7732-18-5
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Caprylyl/Capryl Glucoside,Caprylyl/Capryl Glucoside is a surfactant.,68515-73-1
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,PPG-2 Methyl Ether,"PPG-2 methyl ether is a solvent. Solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Solvents can help to stabilize the surfactants and aid in grease clean-up. Solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",34590-94-8
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Butoxypropanol,"Butoxypropanol is a solvent. Solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Solvents can help to stabilize the surfactants and aid in grease clean-up. Solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",5131-66-8
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Polymeric Blue Colorant,Polymeric Blue Colorant is a colorant.,Proprietary
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Polymeric Pink Colorant,Polymeric Pink Colorant is a colorant.,Proprietary
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Methylisothiazolinone,Methyisothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2682-20-4
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Benzisothiazolinone,Benziothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2634-33-5
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Methylchloroisothiazolinone,Methylchloroisothiazolinone is a preservative.,26172-55-4
https://us.bona.com/products/hardwood-floor-cleaner-refill-cartridge.html,Bona® Hardwood Cleaner Cartridge,,Citric Acid,Citric acid is apH regulating agent.,77-92-9
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Water/Aqua,"Water is a solvent. Water is used in many different manufactured products and is considered to be a safe, organic substitute for harsher chemicals. Water is used as a way to dissolve other chemicals into a safe cleaning solution. The term “aqua” refers to water that is free from impurities.",7732-18-5
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Acrylic Copolymer(s),Acrylic Copolymer(s) acts as a binder.,Proprietary
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Urethane Polymer(s),Urethane Polymer(s) acts as a Binder,Proprietary
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Ethoxydiglycol,Ethoxydiglycol acts as a solvent,111-90-0
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Polyethylene Wax,Polyethylene Wax acts as a binder,9002-88-4
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Propylene Glycol,Propylene Glycol acts as a solvent.,57-55-6
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Modified Polysiloxanes,Modified polysiloxanes acts as a surfactants,Proprietary
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Benzoisothiazolinone,Benziothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2634-33-5
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Methylisothiazolinone,Methyisothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2682-20-4
https://us.bona.com/products/hardwood-floor-polish-high-gloss.html,Bona® Hardwood Floor Polish – High Gloss,,Iodopropynyl butylcarbamate,"Iodopropynyl Butyl Carbamate is a water-soluble preservative used globally in the paints & coatings, wood preservatives, personal care, and cosmetics industries.",55406-53-6
https://us.bona.com/products/pro-series-stl-gallon-refill.html,"Bona Pro Series Stone, Tile & Laminate Gallon Refill",,Aqua,"Water is a solvent. Water is used in a many different manufactured products and is considered to be a safe, organic substitute for harsher chemicals. Water is used as a way to dissolve other chemicals into a safe cleaning solution. The term “aqua” refers to water that is free from impurities.",7732-18-5
https://us.bona.com/products/pro-series-stl-gallon-refill.html,"Bona Pro Series Stone, Tile & Laminate Gallon Refill",,Hydrogen Peroxide,Hydrogen peroxide is a solvent.,7722-84-1
https://us.bona.com/products/pro-series-stl-gallon-refill.html,"Bona Pro Series Stone, Tile & Laminate Gallon Refill",,PPG-2 METHYL ETHER,"PPG-2 methyl ether is a solvent. Co-solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Co-solvents can help to stabilize the surfactants and aid in grease clean-up. Co-solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",34590-94-8
https://us.bona.com/products/pro-series-stl-gallon-refill.html,"Bona Pro Series Stone, Tile & Laminate Gallon Refill",,Propylene Glycol n-Butyl Ether,,
https://us.bona.com/products/pro-series-stl-gallon-refill.html,"Bona Pro Series Stone, Tile & Laminate Gallon Refill",,Sodium Citrate,,
https://us.bona.com/products/pro-series-stl-gallon-refill.html,"Bona Pro Series Stone, Tile & Laminate Gallon Refill",,C8-C10 Alkylglucoside,,
https://us.bona.com/products/bona-powerplus-hard-surface-antibacterial-floor-cleaner.html,Bona PowerPlus® Antibacterial Hard-Surface Floor Cleaner,,Water,Function: Diluent,7732-18-5,,,
https://us.bona.com/products/bona-powerplus-hard-surface-antibacterial-floor-cleaner.html,Bona PowerPlus® Antibacterial Hard-Surface Floor Cleaner,,Surfactant Blend,Function: Surfactant - Cleaning Agent,Withheld,,,
https://us.bona.com/products/bona-powerplus-hard-surface-antibacterial-floor-cleaner.html,Bona PowerPlus® Antibacterial Hard-Surface Floor Cleaner,,Hydrogen Peroxide,Function: Oxidizing Agent,7722-84-1,,,
https://us.bona.com/products/bona-powerplus-hard-surface-antibacterial-floor-cleaner.html,Bona PowerPlus® Antibacterial Hard-Surface Floor Cleaner,,Citric Acid,Function: Chelating Agent,77-92-9,,,
https://us.bona.com/products/bona-powerplus-hard-surface-antibacterial-floor-cleaner.html,Bona PowerPlus® Antibacterial Hard-Surface Floor Cleaner,,Alkylbenzene Sulfonic Acid,Function: Surfactant - Cleaning Agent,68584-22-5,,,
https://us.bona.com/products/bona-powerplus-hard-surface-antibacterial-floor-cleaner.html,Bona PowerPlus® Antibacterial Hard-Surface Floor Cleaner,,Fragrance,Function: Fragrance Ingredient,Withheld,Additional Information:www.ifraorg.org,,
https://us.bona.com/products/bona-powerplus-hard-surface-antibacterial-floor-cleaner.html,Bona PowerPlus® Antibacterial Hard-Surface Floor Cleaner,,Phosphoric Acid,Function:Stabilizer,Additional Information:,Designated Chemical,CA Non-Cancer Hazards,​7664-38-2
https://us.bona.com/products/bona-powerplus-hard-surface-antibacterial-floor-cleaner.html,Bona PowerPlus® Antibacterial Hard-Surface Floor Cleaner,,Limonene,Function: Fragrance Ingredient,Additional Information:,Fragrance Allergen,EU Fragrance Allergens,5989-27-5
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Water/Aqua,"Water is a solvent.Water is used in many different manufactured products and is considered to be a safe, organic substitute for harsher chemicals. Water is used as a way to dissolve other chemicals into a safe cleaning solution. The term “aqua” refers to water that is free from impurities.",7732-18-5
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,PPG-2 Methyl Ether,"PPG-2 methyl ether is a solvent. Solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Solvents can help to stabilize the surfactants and aid in grease clean-up. Solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",34590-94-8
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Butoxypropanol,"Butoxypropanol is a solvent. Solvents can be used to mix two substances that are normally unable to combine or aid the effectiveness of other solvents. Solvents can help to stabilize the surfactants and aid in grease clean-up. Solvents are used in a variety of products, and at very low levels. These ingredients are used in cosmetics, but at more than 10-20 times higher than the level of this cleaner. Emulsifiers are commonly used to mix substances that are normally unable to combine, such as oil and water. The effect of emulsifiers on oil and water is used to stabilize the surfactants and aid in grease clean-up. Emulsifiers are used in a variety of products, from cleaning products, personal hygiene products, and food. These ingredients are used in cosmetics, but at more than 10-20 times the level of this cleaner. Many emulsifiers are found in nature.",5131-66-8
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Diisobutylene-Maleic acid copolymer,Diisobutylene-Maleic acid copolymer acts as a dispersing agent.,37199-81-8
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,PEG/PPG Propylheptyl Ether,PEG/PPG Propylheptyl Ether acts as a surfactant.,166736-08-9
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Isotridecanol Ethyoxylate,Isotridecanol Ethyoxylate acts as a surfactant.,69011-36-5
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Alcohol Ethoxylate,Alcohol Ethoxylate acts as a surfactant.,Unavailable
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Trisodium Dicarboxymethyl Alaninate,"Trisodium dicarboxymethyl alaninate is a chelating agent. A chelating agent is an organic compound that helps to remove metal ions from solutions. Basically, it helps prevent hard water residue. Chelators are commonly used in cleaning products such as detergents and soaps. Alanine trisodium salt is biodegradable and nontoxic.",164462-16-2
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Citric Acid,Citric Acid acts as a PH regulating agent.,77-92-9
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Polymeric Green Colorant,"Polymeric Green Colorant is a colorant. Polymeric Green Colorant is a substance used to differentiate between water and cleaner. It can come from dyes, pigments, inks, or chemicals. The use of colorant in a product helps to maintain high levels of safety in your home.",Proprietary
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Polymeric Blue Colorant,Polymeric Blue Colorant is a colorant.,Proprietary
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Benziothiazolinone,Benziothiazolinone acts as a preservative.,2634-33-5
https://us.bona.com/products/express-disposable-wet-cleaning-pads.html,Bona Disposable Wet Cleaning Pads for Hard-Surface Floors,,Methyisothiazolinone,Methyisothiazolinone is a preservative. Isothiazolinones are used as a preservative since they are effective at getting rid of fungi and bacteria. Isothiazolinones ensure a proper shelf life of biodegradable products. Isothiazolinones are often used in cleaners and personal hygiene products like shampoos and other hair care products.,2682-20-4
